iter	RMSE
0	2.913309946
1	2.738173847
2	2.574702705
3	2.418240498
4	2.274426473
5	2.139040718
6	2.012959862
7	1.895741539
8	1.787190466
9	1.684951556
10	1.590070616
11	1.502071629
12	1.418424614
13	1.34236311
14	1.26964052
15	1.202278022
16	1.141633066
17	1.085181406
18	1.032273535
19	0.9847299421
20	0.9402630222
21	0.8989661332
22	0.8623216637
23	0.8269879298
24	0.7945175575
25	0.7643766334
26	0.7383482112
27	0.7133116943
28	0.6892766688
29	0.6698804198
30	0.6497740727
31	0.6325972505
32	0.616929384
33	0.6015580812
34	0.5884565972
35	0.5753455544
36	0.5642012409
37	0.5531527267
38	0.5439403788
39	0.5359234414
40	0.5280335888
41	0.5206422759
42	0.5147878724
43	0.5093244176
44	0.5033372647
45	0.4985143803
46	0.4939250426
47	0.4902239728
48	0.4862967184
49	0.4832727098
50	0.4805619597
51	0.4779691895
52	0.4748648185
53	0.4725901077
54	0.4705078318
55	0.4681996899
56	0.4663205011
57	0.4647291918
58	0.4628177054
59	0.461089705
60	0.459470757
61	0.4579292399
62	0.456487801
63	0.4555152152
64	0.4541618565
65	0.4530128826
66	0.4518209572
67	0.4507370373
68	0.449957597
69	0.4490051021
70	0.4481558902
71	0.4472399266
72	0.4465650024
73	0.4455081066
74	0.4446612295
75	0.444152696
76	0.4430561471
77	0.4425313078
78	0.4418601754
79	0.4412108395
80	0.4404547209
81	0.4397781143
82	0.4393591672
83	0.4387530891
84	0.4379319117
85	0.4374838725
86	0.4370466985
87	0.4368084394
88	0.4363514096
89	0.4355686902
90	0.4351090295
91	0.4348123781
92	0.4342437393
93	0.4338176086
94	0.4335062936
95	0.4332088854
96	0.4328979774
97	0.4325029703
98	0.4319515053
99	0.4314239517
100	0.4309398832
101	0.4304685344
102	0.4302699806
103	0.4298272656
104	0.4295994139
105	0.429159926
106	0.4287899571
107	0.4285739287
108	0.4282936905
109	0.4281434755
110	0.4276195701
111	0.427143942
112	0.4267942924
113	0.4263016796
114	0.4259460024
115	0.4257415565
116	0.4254583739
117	0.4251494777
118	0.4247226055
119	0.4243046403
120	0.4240611488
121	0.423942119
122	0.4237003526
123	0.4235897467
124	0.4232056107
125	0.4230166039
126	0.4229062311
127	0.4227989624
128	0.4224530797
129	0.4221861025
130	0.4219696243
131	0.4216458822
132	0.4213270227
133	0.4209520031
134	0.4206040401
135	0.4204043188
136	0.4201833958
137	0.4198662933
138	0.4197054576
139	0.4193707332
140	0.4191022814
141	0.4186905869
142	0.4185012341
143	0.4183081824
144	0.4181161088
145	0.4178825162
146	0.4174968594
147	0.4173309831
148	0.4171114192
149	0.4169298726
150	0.4166568238
151	0.4163829104
152	0.4160730089
153	0.4158701207
154	0.4156434954
155	0.4154588949
156	0.4151608257
157	0.4148540878
158	0.4146408656
159	0.4145114207
160	0.4143348214
161	0.414261316
162	0.4140228583
163	0.41382702
164	0.4136210603
165	0.4134606982
166	0.4132808331
167	0.4130344963
168	0.4128322495
169	0.412586528
170	0.4123404733
171	0.4121203416
172	0.4118950352
173	0.411703334
174	0.4116060827
