iter	Passed	Remaining
0	4	4558
1	8	4464
2	13	4466
3	17	4462
4	22	4462
5	27	4487
6	31	4451
7	35	4458
8	40	4499
9	45	4487
10	49	4479
11	54	4488
12	58	4477
13	63	4459
14	67	4443
15	72	4447
16	76	4418
17	80	4396
18	84	4376
19	88	4347
20	92	4334
21	97	4320
22	101	4312
23	105	4302
24	109	4289
25	116	4359
26	120	4354
27	125	4344
28	130	4357
29	135	4365
30	139	4364
31	144	4371
32	149	4374
33	154	4378
34	158	4378
35	163	4376
36	168	4379
37	173	4385
38	178	4387
39	182	4384
40	187	4386
41	192	4388
42	197	4385
43	201	4381
44	206	4381
45	211	4377
46	215	4378
47	220	4375
48	225	4380
49	230	4383
50	235	4383
51	240	4381
52	245	4384
53	250	4391
54	255	4390
55	260	4387
56	265	4387
57	270	4395
58	275	4397
59	280	4396
60	285	4397
61	290	4397
62	295	4395
63	300	4396
64	305	4390
65	310	4387
66	314	4385
67	319	4378
68	324	4377
69	329	4375
70	334	4375
71	339	4373
72	344	4370
73	348	4366
74	354	4366
75	358	4364
76	363	4358
77	368	4357
78	373	4350
79	377	4342
80	382	4334
81	387	4333
82	392	4332
83	396	4328
84	400	4315
85	405	4314
86	410	4312
87	415	4308
88	420	4305
89	425	4302
90	430	4304
91	435	4302
92	441	4303
93	446	4300
94	451	4301
95	456	4303
96	462	4300
97	466	4297
98	471	4294
99	476	4292
100	479	4270
101	484	4265
102	489	4262
103	494	4257
104	499	4256
105	504	4254
106	509	4251
107	514	4249
108	520	4253
109	525	4250
110	527	4227
111	532	4223
112	537	4220
113	542	4213
114	546	4206
115	551	4201
116	556	4196
117	560	4192
118	566	4196
119	571	4193
120	576	4187
121	581	4182
122	585	4176
123	590	4169
124	595	4165
125	599	4159
126	604	4154
127	609	4148
128	613	4144
129	618	4138
130	623	4134
131	627	4129
132	632	4122
133	637	4116
134	641	4112
135	646	4107
136	651	4104
137	656	4098
138	660	4091
139	665	4086
140	669	4080
141	674	4076
142	679	4070
143	684	4066
144	688	4060
145	693	4056
146	698	4052
147	703	4047
148	707	4042
149	712	4037
150	717	4032
151	721	4027
152	726	4022
153	731	4017
154	735	4012
155	740	4007
156	745	4003
157	750	3997
158	754	3992
159	759	3986
160	764	3982
161	769	3978
162	773	3972
163	778	3969
164	783	3966
165	788	3961
166	793	3955
167	797	3950
168	802	3945
169	807	3940
170	811	3934
171	816	3929
172	820	3924
173	825	3918
174	830	3913
175	834	3909
176	839	3904
177	844	3899
178	849	3894
179	853	3888
180	857	3882
181	862	3877
182	867	3873
183	872	3868
184	877	3863
185	881	3858
186	886	3852
187	890	3847
188	895	3841
189	899	3836
190	904	3831
191	909	3826
192	914	3822
193	918	3817
194	923	3811
195	928	3807
196	933	3803
197	937	3798
198	942	3793
199	947	3788
200	951	3783
201	956	3778
202	961	3774
203	966	3770
204	970	3765
205	975	3760
206	980	3755
207	984	3750
208	989	3745
209	994	3740
210	999	3736
211	1004	3733
212	1009	3729
213	1013	3723
214	1019	3721
215	1023	3715
216	1028	3710
217	1033	3705
218	1037	3701
219	1042	3696
220	1047	3691
221	1052	3686
222	1056	3682
223	1061	3677
224	1066	3672
225	1070	3667
226	1075	3662
227	1080	3657
228	1085	3653
229	1089	3648
230	1094	3643
231	1099	3638
232	1103	3632
233	1108	3627
234	1113	3623
235	1117	3619
236	1122	3613
237	1127	3608
238	1131	3603
239	1136	3598
240	1141	3594
241	1145	3588
242	1150	3583
243	1155	3578
244	1160	3576
245	1165	3572
246	1170	3568
247	1175	3562
248	1179	3557
249	1184	3552
250	1189	3548
251	1194	3544
252	1199	3540
253	1203	3535
254	1208	3530
255	1213	3526
256	1218	3521
257	1222	3516
258	1227	3511
259	1231	3505
260	1236	3500
261	1240	3495
262	1245	3490
263	1250	3486
264	1255	3481
265	1259	3476
266	1264	3470
267	1268	3465
268	1273	3460
269	1278	3456
270	1283	3451
271	1287	3446
272	1292	3442
273	1298	3439
274	1302	3434
275	1307	3430
276	1312	3426
277	1317	3420
278	1321	3416
279	1326	3411
280	1331	3406
281	1336	3401
282	1340	3396
283	1345	3391
284	1349	3386
285	1354	3381
286	1359	3376
287	1363	3371
288	1368	3366
289	1373	3361
290	1377	3356
291	1382	3352
292	1387	3347
293	1391	3342
294	1396	3337
295	1401	3332
296	1405	3327
297	1410	3322
298	1415	3317
299	1419	3312
300	1424	3307
301	1429	3303
302	1434	3298
303	1438	3294
304	1443	3289
305	1448	3285
306	1453	3280
307	1458	3276
308	1462	3271
309	1467	3266
310	1472	3261
311	1477	3256
312	1481	3252
313	1486	3247
314	1490	3241
315	1495	3237
316	1500	3232
317	1505	3228
318	1510	3225
319	1516	3221
320	1521	3218
321	1527	3215
322	1532	3213
323	1538	3210
324	1543	3206
325	1548	3201
326	1553	3197
327	1558	3193
328	1563	3189
329	1568	3184
330	1573	3180
331	1578	3176
332	1583	3171
333	1588	3167
334	1593	3162
335	1598	3158
336	1603	3155
337	1608	3150
338	1614	3147
339	1618	3142
340	1623	3138
341	1628	3133
342	1633	3128
343	1638	3124
344	1643	3119
345	1648	3115
346	1653	3110
347	1658	3106
348	1663	3102
349	1667	3097
350	1672	3092
351	1677	3088
352	1682	3084
353	1688	3080
354	1693	3076
355	1698	3071
356	1704	3069
357	1709	3066
358	1714	3061
359	1719	3057
360	1725	3053
361	1730	3049
362	1735	3045
363	1740	3041
364	1745	3036
365	1750	3032
366	1755	3028
367	1760	3023
368	1765	3019
369	1770	3014
370	1774	3009
371	1779	3003
372	1783	2998
373	1789	2994
374	1794	2990
375	1798	2985
376	1803	2981
377	1808	2975
378	1813	2970
379	1817	2966
380	1822	2961
381	1827	2956
382	1832	2951
383	1836	2946
384	1841	2941
385	1846	2936
386	1851	2932
387	1855	2927
388	1860	2922
389	1865	2917
390	1870	2913
391	1875	2908
392	1879	2903
393	1884	2898
394	1889	2893
395	1893	2888
396	1898	2884
397	1903	2879
398	1908	2874
399	1912	2869
400	1917	2864
401	1923	2861
402	1928	2856
403	1932	2851
404	1937	2846
405	1942	2841
406	1946	2836
407	1951	2831
408	1956	2827
409	1961	2822
410	1966	2817
411	1971	2813
412	1975	2808
413	1980	2803
414	1985	2798
415	1990	2794
416	1995	2789
417	2000	2784
418	2004	2779
419	2009	2774
420	2014	2770
421	2019	2765
422	2023	2760
423	2028	2755
424	2033	2751
425	2038	2746
426	2043	2741
427	2047	2736
428	2052	2732
429	2057	2727
430	2062	2722
431	2067	2717
432	2071	2712
433	2076	2707
434	2080	2702
435	2085	2697
436	2090	2692
437	2094	2687
438	2099	2682
439	2103	2677
440	2108	2672
441	2113	2668
442	2118	2663
443	2123	2658
444	2127	2653
445	2132	2648
446	2137	2644
447	2142	2639
448	2146	2634
449	2151	2630
450	2156	2625
451	2161	2620
452	2166	2615
453	2171	2610
454	2175	2605
455	2180	2600
456	2184	2596
457	2189	2591
458	2194	2586
459	2199	2581
460	2204	2576
461	2208	2572
462	2214	2567
463	2219	2563
464	2224	2559
465	2229	2554
466	2234	2549
467	2239	2545
468	2243	2540
469	2248	2535
470	2253	2530
471	2258	2526
472	2262	2521
473	2267	2516
474	2272	2511
475	2277	2506
476	2281	2501
477	2286	2497
478	2291	2492
479	2296	2487
480	2300	2482
481	2305	2477
482	2311	2474
483	2316	2470
484	2321	2465
485	2326	2460
486	2331	2456
487	2336	2451
488	2341	2446
489	2346	2441
490	2350	2436
491	2355	2432
492	2360	2427
493	2364	2422
494	2369	2417
495	2373	2412
496	2378	2407
497	2383	2402
498	2388	2397
499	2392	2392
500	2397	2387
501	2401	2382
502	2406	2377
503	2411	2372
504	2415	2368
505	2420	2363
506	2425	2358
507	2430	2353
508	2434	2348
509	2439	2343
510	2444	2339
511	2449	2334
512	2454	2329
513	2458	2324
514	2463	2320
515	2468	2315
516	2473	2310
517	2478	2306
518	2483	2301
519	2488	2297
520	2493	2292
521	2498	2287
522	2502	2282
523	2508	2278
524	2512	2273
525	2517	2268
526	2522	2264
527	2527	2259
528	2532	2255
529	2537	2250
530	2542	2245
531	2547	2241
532	2552	2236
533	2557	2232
534	2562	2227
535	2567	2222
536	2572	2218
537	2578	2214
538	2583	2209
539	2588	2204
540	2592	2199
541	2598	2195
542	2603	2191
543	2609	2186
544	2614	2182
545	2619	2178
546	2624	2173
547	2629	2168
548	2634	2164
549	2638	2159
550	2643	2154
551	2647	2148
552	2652	2144
553	2657	2139
554	2661	2134
555	2666	2129
556	2671	2124
557	2675	2119
558	2680	2114
559	2684	2109
560	2689	2104
561	2694	2100
562	2699	2095
563	2704	2090
564	2708	2085
565	2713	2080
566	2718	2075
567	2722	2070
568	2727	2065
569	2731	2060
570	2736	2056
571	2741	2051
572	2746	2046
573	2750	2041
574	2755	2037
575	2760	2032
576	2766	2027
577	2770	2022
578	2775	2017
579	2780	2013
580	2784	2008
581	2789	2003
582	2793	1998
583	2798	1993
584	2803	1988
585	2807	1983
586	2812	1978
587	2817	1973
588	2821	1968
589	2826	1964
590	2831	1959
591	2835	1954
592	2840	1949
